"Index Name","Date","Open","High","Low","Close"
"NIFTY CHEMICALS","09 Jul 2013","-","-","-","2375.59"
"NIFTY CHEMICALS","08 Jul 2013","-","-","-","2346.37"
"NIFTY CHEMICALS","05 Jul 2013","-","-","-","2356.27"
"NIFTY CHEMICALS","04 Jul 2013","-","-","-","2351.82"
"NIFTY CHEMICALS","03 Jul 2013","-","-","-","2358.99"
"NIFTY CHEMICALS","02 Jul 2013","-","-","-","2382.26"
"NIFTY CHEMICALS","01 Jul 2013","-","-","-","2387.91"
"NIFTY CHEMICALS","28 Jun 2013","-","-","-","2352.75"
"NIFTY CHEMICALS","27 Jun 2013","-","-","-","2316.53"
"NIFTY CHEMICALS","26 Jun 2013","-","-","-","2317.31"
"NIFTY CHEMICALS","25 Jun 2013","-","-","-","2319.81"
"NIFTY CHEMICALS","24 Jun 2013","-","-","-","2332.35"
"NIFTY CHEMICALS","21 Jun 2013","-","-","-","2400.98"
"NIFTY CHEMICALS","20 Jun 2013","-","-","-","2441.62"
"NIFTY CHEMICALS","19 Jun 2013","-","-","-","2470.09"
"NIFTY CHEMICALS","18 Jun 2013","-","-","-","2484.78"
"NIFTY CHEMICALS","17 Jun 2013","-","-","-","2481.49"
"NIFTY CHEMICALS","14 Jun 2013","-","-","-","2460.96"
"NIFTY CHEMICALS","13 Jun 2013","-","-","-","2440.45"
"NIFTY CHEMICALS","12 Jun 2013","-","-","-","2476.65"
"NIFTY CHEMICALS","11 Jun 2013","-","-","-","2472.03"
"NIFTY CHEMICALS","10 Jun 2013","-","-","-","2512.92"
"NIFTY CHEMICALS","07 Jun 2013","-","-","-","2517.83"
"NIFTY CHEMICALS","06 Jun 2013","-","-","-","2519.42"
"NIFTY CHEMICALS","05 Jun 2013","-","-","-","2520.42"
"NIFTY CHEMICALS","04 Jun 2013","-","-","-","2515.83"
"NIFTY CHEMICALS","03 Jun 2013","-","-","-","2515.61"
"NIFTY CHEMICALS","31 May 2013","-","-","-","2519.89"
"NIFTY CHEMICALS","30 May 2013","-","-","-","2538.76"
"NIFTY CHEMICALS","29 May 2013","-","-","-","2560.25"
"NIFTY CHEMICALS","28 May 2013","-","-","-","2564.28"
"NIFTY CHEMICALS","27 May 2013","-","-","-","2565.26"
"NIFTY CHEMICALS","24 May 2013","-","-","-","2529.03"
"NIFTY CHEMICALS","23 May 2013","-","-","-","2516.41"
"NIFTY CHEMICALS","22 May 2013","-","-","-","2553.24"
"NIFTY CHEMICALS","21 May 2013","-","-","-","2573.36"
"NIFTY CHEMICALS","20 May 2013","-","-","-","2601.41"
"NIFTY CHEMICALS","17 May 2013","-","-","-","2604.28"
"NIFTY CHEMICALS","16 May 2013","-","-","-","2623.16"
"NIFTY CHEMICALS","15 May 2013","-","-","-","2629.47"
"NIFTY CHEMICALS","14 May 2013","-","-","-","2605.77"
